# Clustering,betweenness_centrality,no. of neighbours,Avg neighbor degree,closeness_centrality,degree_centrality,load_centrality,harmonic_centrality,pagerank,NULL,GaussianSimilarity
0.3333333333333333, 0.006044373086489287, 6.0, 5.5, 0.167955615332885, 0.006006006006006006, 0.006317651856310178, 183.3428571428577, 0.0010337471464210363, 0.0, 0.9999982638637552
0.4, 0.001546504007314279, 6.0, 5.333333333333333, 0.16278311878768129, 0.006006006006006006, 0.001445742195552001, 177.2000000000005, 0.0010382485857980742, 0.0, 0.9999999996833814
0.5, 0.0030365728077381875, 5.0, 6.2, 0.17185618441424394, 0.005005005005005005, 0.0030627348143128135, 186.0444444444444, 0.0008683385445479323, 0.0, 0.9999999069117176
0.3, 0.004933005215724133, 5.0, 6.2, 0.16159818828857975, 0.005005005005005005, 0.0050374393098498674, 176.28253968254032, 0.000871912730094921, 0.0, 0.9999991461388587
0.4666666666666667, 0.001415674512780081, 6.0, 5.5, 0.15829504040564094, 0.006006006006006006, 0.0013746218587266457, 172.32301587301623, 0.00103638076264253, 0.0, 0.9999999997040525
0.5, 0.0016482819635886322, 5.0, 5.8, 0.16048192771084338, 0.005005005005005005, 0.001609982553312114, 173.86944444444487, 0.0008860796413155481, 0.0, 1.0
0.26666666666666666, 0.009141947802854544, 6.0, 6.5, 0.17233051578402622, 0.006006006006006006, 0.009575284692190326, 189.43571428571394, 0.001002111492451001, 0.0, 0.9999945404053406
0.1, 0.010376472747972517, 5.0, 6.0, 0.17486434447750743, 0.005005005005005005, 0.01053170623839354, 191.13928571428497, 0.0008773744197992818, 0.0, 0.9999929363817261
0.6, 0.000921988113560593, 5.0, 6.2, 0.17206338270754393, 0.005005005005005005, 0.0009167930428971101, 186.5253968253967, 0.0008634167922046206, 0.0, 0.9999506721130135
0.2857142857142857, 0.013014238390528107, 7.0, 5.857142857142857, 0.19003233783526727, 0.007007007007007007, 0.013592264948305559, 208.01547619047304, 0.001151953384874896, 0.0, 0.7959752837838102
0.2, 0.005442984468609453, 5.0, 5.6, 0.17109094022949134, 0.005005005005005005, 0.005425684613332018, 185.99603174603178, 0.0008689717701784786, 0.0, 0.9999988868111834
0.2857142857142857, 0.01020321840115896, 7.0, 5.571428571428571, 0.1672246401071309, 0.007007007007007007, 0.01019545653977325, 184.16587301587353, 0.0011669312910348568, 0.0, 0.9737620729692259
0.2857142857142857, 0.011795202636468266, 7.0, 6.285714285714286, 0.18845500848896435, 0.007007007007007007, 0.012245047893913352, 207.2515873015843, 0.001139606387074879, 0.0, 0.7959791823560304
0.26666666666666666, 0.006781611922833267, 6.0, 6.5, 0.18259915920307074, 0.006006006006006006, 0.006794609563508722, 199.59285714285508, 0.0009896995043417246, 0.0, 0.9568126426930403
0.19047619047619047, 0.017749338545405075, 7.0, 6.571428571428571, 0.19469888910543753, 0.007007007007007007, 0.018079838957982347, 213.57380952380583, 0.0011303299135569974, 0.0, 0.7957316419421673
0.13333333333333333, 0.015863201384606188, 6.0, 6.166666666666667, 0.1886685552407932, 0.006006006006006006, 0.016234402315707164, 206.39999999999694, 0.0010032481530936742, 0.0, 0.8222007535331437
0.19047619047619047, 0.010316008110482958, 7.0, 6.142857142857143, 0.18061833303200145, 0.007007007007007007, 0.010519514153011857, 198.60595238095055, 0.001143278024230124, 0.0, 0.973761615656344
0.23809523809523808, 0.013038963406485247, 7.0, 6.0, 0.18296703296703296, 0.007007007007007007, 0.013254613618555233, 201.61944444444222, 0.0011427457529100279, 0.0, 0.7997854529334527
